Название товара	Душевая кабина Ilma-902 L
Описание товара	Оптимальная вместительность душевой кабины ILMA-902 L достигается за счет удобной угловой формы., , Это простая, качественная и долговечная конструкция, которая украсит собой любую ванную комнату! Займет намного меньше места, чем обычная ванна. В процессе производства модели используются надежные, проверенные временем и безопасные для окружающей среды материалы – акрил, закаленное стекло и прочный металлический профиль., , В комплектацию входит смеситель с термостатом – это удобное решение для точной регулировки температуры воды. Вы не обожжетесь, даже если случайно повернули рычаг в другую сторону., , Крыша продается отдельно.
Цена в рублях	115600
Цена без скидки	-
Оценка покупателей	0%
Название магазина	Веб Маркет
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	80
Высота, см	225
Стекло	Прозрачное
Страна-изготовитель	Финляндия
Размеры, мм	1200x800x2250
Число дверей	2
Монтаж	На поддон
Материал дверей	Стекло
Гарантия	5 лет
Цвет фурнитуры	Серебристый
Материал поддона	Акрил
Форма	Полукруг
Материал задней стенки	Стекло
Высота поддона	Низкий
Двери	Раздвижные в стороны
Бренд	Timo
Адрес товара	https://www.ozon.ru/product/275495793?oos_search=false
Статус 	Закончился
