Название товара	Душевая кабина ARCUS (ES-309GWP-R)
Описание товара	EcoStyle – это линейка душевых кабин, которая включает в себя соотношение цены и качества, доступность и простоту.  Разработана на основании пожеланий наших клиентов. Эти душевые кабины не оснащены дополнительными функциями, что делает их более доступными по стоимости.
Цена в рублях	37100
Цена без скидки	-
Оценка покупателей	0%
Название магазина	FillHome КБТ
Количество отзывов	0
Тип	Душевая кабина
Длина, см	120
Ширина, см	85
Высота, см	215
Толщина стекла, мм	4
Стекло	Тонированное
Управление	Ручное
Страна-изготовитель	Китай
Размеры, мм	120*85*215
Высота поддона	Высокий
Гарантия	1 год
Двери	Раздвижные в стороны
Материал дверей	Закаленное стекло
Материал поддона	Акрил
Бренд	ARCUS
Монтаж	Напольный
Число дверей	2
Форма	Нестандартная
Адрес товара	https://www.ozon.ru/product/269239040?oos_search=false
Статус 	Закончился
